"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","FC Barcelona ","FC Barcelona","34","34","23,8","12","561,10 Mill. €","16,50 Mill. €",2010
"2","Real Madrid ","Real Madrid","38","38","23,3","16","506,90 Mill. €","13,34 Mill. €",2010
"3","Sevilla FC ","Sevilla FC","35","35","24,4","19","225,15 Mill. €","6,43 Mill. €",2010
"4","Atlético Madrid ","Atlético Madrid","30","30","24,1","10","196,60 Mill. €","6,55 Mill. €",2010
"5","Valencia CF ","Valencia CF","32","32","25,4","13","178,10 Mill. €","5,57 Mill. €",2010
"6","Villarreal CF ","Villarreal CF","34","34","24,3","13","145,10 Mill. €","4,27 Mill. €",2010
"7","Athletic Bilbao ","Athletic Bilbao","30","30","24,2","1","98,30 Mill. €","3,28 Mill. €",2010
"8","Málaga CF ","Málaga CF","37","37","25,5","18","82,60 Mill. €","2,23 Mill. €",2010
"9","Deportivo de La Coruna ","Deportivo de La Coruna","33","33","25,5","10","74,35 Mill. €","2,25 Mill. €",2010
"10","Getafe CF ","Getafe CF","29","29","24,4","7","68,60 Mill. €","2,37 Mill. €",2010
"11","Real Zaragoza ","Real Zaragoza","30","30","25,1","16","67,00 Mill. €","2,23 Mill. €",2010
"12","CA Osasuna ","CA Osasuna","29","29","27,1","6","66,55 Mill. €","2,29 Mill. €",2010
"13","UD Almería ","UD Almería","29","29","24,9","16","64,35 Mill. €","2,22 Mill. €",2010
"14","Racing Santander ","Racing Santander","30","30","25,0","12","62,35 Mill. €","2,08 Mill. €",2010
"15","Hércules CF  ","Hércules CF","32","32","25,8","12","61,55 Mill. €","1,92 Mill. €",2010
"16","RCD Espanyol Barcelona ","RCD Espanyol Barcelona","35","35","23,3","11","61,10 Mill. €","1,75 Mill. €",2010
"17","Sporting Gijón ","Sporting Gijón","33","33","24,8","5","57,60 Mill. €","1,75 Mill. €",2010
"18","RCD Mallorca ","RCD Mallorca","27","27","25,1","13","54,23 Mill. €","2,01 Mill. €",2010
"19","Real Sociedad  ","Real Sociedad","26","26","24,8","6","43,50 Mill. €","1,67 Mill. €",2010
"20","Levante UD  ","Levante UD","33","33","25,7","7","27,30 Mill. €","827 Th. €",2010
"21","FC Barcelona ","FC Barcelona","34","34","23,8","12","561,10 Mill. €","16,50 Mill. €",2010
"22","Real Madrid ","Real Madrid","38","38","23,3","16","506,90 Mill. €","13,34 Mill. €",2010
"23","Sevilla FC ","Sevilla FC","35","35","24,4","19","225,15 Mill. €","6,43 Mill. €",2010
"24","Atlético Madrid ","Atlético Madrid","30","30","24,1","10","196,60 Mill. €","6,55 Mill. €",2010
"25","Valencia CF ","Valencia CF","32","32","25,4","13","178,10 Mill. €","5,57 Mill. €",2010
"26","Villarreal CF ","Villarreal CF","34","34","24,3","13","145,10 Mill. €","4,27 Mill. €",2010
"27","Athletic Bilbao ","Athletic Bilbao","30","30","24,2","1","98,30 Mill. €","3,28 Mill. €",2010
"28","Málaga CF ","Málaga CF","37","37","25,5","18","82,60 Mill. €","2,23 Mill. €",2010
"29","Deportivo de La Coruna ","Deportivo de La Coruna","33","33","25,5","10","74,35 Mill. €","2,25 Mill. €",2010
"30","Getafe CF ","Getafe CF","29","29","24,4","7","68,60 Mill. €","2,37 Mill. €",2010
"31","Real Zaragoza ","Real Zaragoza","30","30","25,1","16","67,00 Mill. €","2,23 Mill. €",2010
"32","CA Osasuna ","CA Osasuna","29","29","27,1","6","66,55 Mill. €","2,29 Mill. €",2010
"33","UD Almería ","UD Almería","29","29","24,9","16","64,35 Mill. €","2,22 Mill. €",2010
"34","Racing Santander ","Racing Santander","30","30","25,0","12","62,35 Mill. €","2,08 Mill. €",2010
"35","Hércules CF  ","Hércules CF","32","32","25,8","12","61,55 Mill. €","1,92 Mill. €",2010
"36","RCD Espanyol Barcelona ","RCD Espanyol Barcelona","35","35","23,3","11","61,10 Mill. €","1,75 Mill. €",2010
"37","Sporting Gijón ","Sporting Gijón","33","33","24,8","5","57,60 Mill. €","1,75 Mill. €",2010
"38","RCD Mallorca ","RCD Mallorca","27","27","25,1","13","54,23 Mill. €","2,01 Mill. €",2010
"39","Real Sociedad  ","Real Sociedad","26","26","24,8","6","43,50 Mill. €","1,67 Mill. €",2010
"40","Levante UD  ","Levante UD","33","33","25,7","7","27,30 Mill. €","827 Th. €",2010
"41","FC Barcelona ","FC Barcelona","35","35","23,9","11","621,50 Mill. €","17,76 Mill. €",2011
"42","Real Madrid ","Real Madrid","32","32","23,7","16","525,20 Mill. €","16,41 Mill. €",2011
"43","Atlético Madrid ","Atlético Madrid","33","33","23,8","15","202,10 Mill. €","6,12 Mill. €",2011
"44","Valencia CF ","Valencia CF","27","27","24,9","13","169,90 Mill. €","6,29 Mill. €",2011
"45","Villarreal CF ","Villarreal CF","34","34","24,4","12","149,95 Mill. €","4,41 Mill. €",2011
"46","Sevilla FC ","Sevilla FC","32","32","24,4","14","145,50 Mill. €","4,55 Mill. €",2011
"47","Málaga CF ","Málaga CF","32","32","26,0","18","128,20 Mill. €","4,01 Mill. €",2011
"48","Athletic Bilbao ","Athletic Bilbao","30","30","24,2","1","114,70 Mill. €","3,82 Mill. €",2011
