"","Club","Age","Foreign","Sezon","Total_value","Market_value"
"1","FC Barcelona ",23.8,12,2010,561.1,16.5
"2","Real Madrid ",23.3,16,2010,506.9,13.34
"3","Sevilla FC ",24.4,19,2010,225.15,6.43
"4","Atlético Madrid ",24.1,10,2010,196.6,6.55
"5","Valencia CF ",25.4,13,2010,178.1,5.57
"6","Villarreal CF ",24.3,13,2010,145.1,4.27
"7","Athletic Bilbao ",24.2,1,2010,98.3,3.28
"8","Málaga CF ",25.5,18,2010,82.6,2.23
"9","Deportivo de La Coruna ",25.5,10,2010,74.35,2.25
"10","Getafe CF ",24.4,7,2010,68.6,2.37
"11","Real Zaragoza ",25.1,16,2010,67,2.23
"12","CA Osasuna ",27.1,6,2010,66.55,2.29
"13","UD Almería ",24.9,16,2010,64.35,2.22
"14","Racing Santander ",25,12,2010,62.35,2.08
"15","Hércules CF  ",25.8,12,2010,61.55,1.92
"16","RCD Espanyol Barcelona ",23.3,11,2010,61.1,1.75
"17","Sporting Gijón ",24.8,5,2010,57.6,1.75
"18","RCD Mallorca ",25.1,13,2010,54.23,2.01
"19","Real Sociedad  ",24.8,6,2010,43.5,1.67
"20","Levante UD  ",25.7,7,2010,27.3,0.827
"21","FC Barcelona ",23.8,12,2010,561.1,16.5
"22","Real Madrid ",23.3,16,2010,506.9,13.34
"23","Sevilla FC ",24.4,19,2010,225.15,6.43
"24","Atlético Madrid ",24.1,10,2010,196.6,6.55
"25","Valencia CF ",25.4,13,2010,178.1,5.57
"26","Villarreal CF ",24.3,13,2010,145.1,4.27
"27","Athletic Bilbao ",24.2,1,2010,98.3,3.28
"28","Málaga CF ",25.5,18,2010,82.6,2.23
"29","Deportivo de La Coruna ",25.5,10,2010,74.35,2.25
"30","Getafe CF ",24.4,7,2010,68.6,2.37
"31","Real Zaragoza ",25.1,16,2010,67,2.23
"32","CA Osasuna ",27.1,6,2010,66.55,2.29
"33","UD Almería ",24.9,16,2010,64.35,2.22
"34","Racing Santander ",25,12,2010,62.35,2.08
"35","Hércules CF  ",25.8,12,2010,61.55,1.92
"36","RCD Espanyol Barcelona ",23.3,11,2010,61.1,1.75
"37","Sporting Gijón ",24.8,5,2010,57.6,1.75
"38","RCD Mallorca ",25.1,13,2010,54.23,2.01
"39","Real Sociedad  ",24.8,6,2010,43.5,1.67
"40","Levante UD  ",25.7,7,2010,27.3,0.827
"41","FC Barcelona ",23.9,11,2011,621.5,17.76
"42","Real Madrid ",23.7,16,2011,525.2,16.41
"43","Atlético Madrid ",23.8,15,2011,202.1,6.12
"44","Valencia CF ",24.9,13,2011,169.9,6.29
"45","Villarreal CF ",24.4,12,2011,149.95,4.41
"46","Sevilla FC ",24.4,14,2011,145.5,4.55
"47","Málaga CF ",26,18,2011,128.2,4.01
"48","Athletic Bilbao ",24.2,1,2011,114.7,3.82
"49","Getafe CF ",25.9,6,2011,79.5,2.56
"50","RCD Espanyol Barcelona ",23.4,16,2011,74.6,2.19
"51","Real Zaragoza ",25.5,15,2011,72.5,2.34
"52","Real Sociedad ",24.4,8,2011,70,2.8
"53","RCD Mallorca ",23.9,13,2011,61.1,1.97
"54","Granada CF  ",26.5,13,2011,51.7,1.85
"55","Sporting Gijón ",25.3,8,2011,49.75,1.6
"56","Real Betis Balompié  ",25.3,6,2011,46.7,1.42
"57","Racing Santander ",23.6,9,2011,43.6,1.28
"58","Levante UD ",27.1,8,2011,41.6,1.34
"59","CA Osasuna ",26.1,8,2011,40.35,1.26
"60","Rayo Vallecano  ",25.3,6,2011,34,1
"61","FC Barcelona ",25.2,9,2012,621,23
"62","Real Madrid ",24.5,18,2012,593.5,17.98
"63","Atlético Madrid ",24.3,13,2012,177.5,6.57
"64","Valencia CF ",24.6,14,2012,171.2,6.34
"65","Sevilla FC ",24.3,13,2012,134.1,4.33
"66","Athletic Bilbao ",23.2,2,2012,117.6,4.06
"67","Málaga CF ",25.8,21,2012,111.3,3.37
"68","Granada CF ",26.2,14,2012,77.7,2.68
"69","Getafe CF ",26,5,2012,70.7,2.53
