"","Club","Age","Total_value_a","Sezon"
"1","Inter","24.6",390.15,2010
"2","Milan","26.2",348.35,2010
"3","Juventus","24.5",332.43,2010
"4","Roma","25.2",255,2010
"5","Fiorentina","23.4",207.73,2010
"6","Genoa","23.8",168.7,2010
"7","Napoli","24.9",147.38,2010
"8","Sampdoria","23",129.15,2010
"9","Lazio","25.6",116.25,2010
"10","Udinese","23.2",112.55,2010
"11","Parma","24.2",103.43,2010
"12","Palermo","22.7",87.8,2010
"13","Cagliari","26.3",74.13,2010
"14","Catania","25.3",68.7,2010
"15","Cesena","24.9",64.9,2010
"16","Bari","24.2",63.45,2010
"17","Chievo","25.7",55.2,2010
"18","Brescia","24.7",49.1,2010
"19","Bologna","23.4",47.18,2010
"20","Lecce","24.1",35.5,2010
"21","Inter","24.6",390.15,2010
"22","Milan","26.2",348.35,2010
"23","Juventus","24.5",332.43,2010
"24","Roma","25.2",255,2010
"25","Fiorentina","23.4",207.73,2010
"26","Genoa","23.8",168.7,2010
"27","Napoli","24.9",147.38,2010
"28","Sampdoria","23",129.15,2010
"29","Lazio","25.6",116.25,2010
"30","Udinese","23.2",112.55,2010
"31","Parma","24.2",103.43,2010
"32","Palermo","22.7",87.8,2010
"33","Cagliari","26.3",74.13,2010
"34","Catania","25.3",68.7,2010
"35","Cesena","24.9",64.9,2010
"36","Bari","24.2",63.45,2010
"37","Chievo","25.7",55.2,2010
"38","Brescia","24.7",49.1,2010
"39","Bologna","23.4",47.18,2010
"40","Lecce","24.1",35.5,2010
"41","Inter","24.4",388.3,2011
"42","Juventus","26.8",290.45,2011
"43","Milan","25.3",290.25,2011
"44","Roma","24.5",183.5,2011
"45","Napoli","23",183.08,2011
"46","Fiorentina","23.7",167.95,2011
"47","Genoa","24.8",129.7,2011
"48","Palermo","23.5",121.13,2011
"49","Lazio","24.1",119.8,2011
"50","Udinese","22.4",108.55,2011
"51","Parma","24.2",88.1,2011
"52","Cagliari","23.8",67.65,2011
"53","Bologna","23.8",66.93,2011
"54","Cesena","24.2",62.45,2011
"55","Catania","25.5",60.3,2011
"56","Atalanta","26.4",59.28,2011
"57","Chievo","25.2",50.68,2011
"58","Siena","25.9",43.5,2011
"59","Lecce","24.8",37.03,2011
"60","Novara","25.8",32.68,2011
"61","Juventus","25.3",308.8,2012
"62","Milan","24.6",271.35,2012
"63","Inter","23.3",265.6,2012
"64","Napoli","25.2",226.53,2012
"65","Fiorentina","24.2",178.3,2012
"66","Roma","23.6",157.83,2012
"67","Lazio","23.9",128.63,2012
"68","Genoa","25.5",118.4,2012
"69","Udinese","22.3",106.03,2012
"70","Palermo","24.2",94.78,2012
"71","Bologna","23.6",81.35,2012
"72","Atalanta","26.7",75.7,2012
"73","Parma","24.6",72.6,2012
"74","Sampdoria","24.4",69.33,2012
"75","Cagliari","23",64.98,2012
"76","Chievo","25.9",58.03,2012
"77","Torino","24.8",54.18,2012
"78","Catania","24.4",53.85,2012
"79","Siena","26.3",50.95,2012
"80","Pescara","23.5",45.7,2012
"81","Juventus","24.6",402.5,2013
"82","Milan","24.4",294.88,2013
"83","Inter","23.3",276.13,2013
"84","Napoli","25.8",243.53,2013
"85","Fiorentina","24.3",222.88,2013
"86","Roma","22.9",214.65,2013
"87","Lazio","24",161.63,2013
"88","Udinese","22.7",120.25,2013
"89","Genoa","23.4",104.4,2013
"90","Parma","24.3",92.75,2013
"91","Catania","23.3",88.88,2013
"92","Sassuolo","24",83.28,2013
"93","Sampdoria","23.5",82.68,2013
"94","Cagliari","23.9",80.48,2013
"95","Chievo","24",74.38,2013
"96","Atalanta","24.1",72.68,2013
"97","Bologna","23.6",63.73,2013
"98","Livorno","23.9",62.98,2013
"99","Torino","24.4",60.7,2013
"100","Verona","24.5",57.05,2013
"101","Juventus","26",357.7,2014
"102","Inter","23.5",311.7,2014
"103","Milan","24.3",305.23,2014
"104","Napoli","25.7",282.93,2014
"105","Roma","24.9",260.5,2014
"106","Fiorentina","24.9",243.53,2014
"107","Lazio","25.3",148.7,2014
"108","Sampdoria","24.6",115.13,2014
"109","Genoa","24.1",113.2,2014
"110","Udinese","22.9",100.53,2014
"111","Parma","24.2",94.78,2014
"112","Sassuolo","25.3",89.35,2014
"113","Torino","25",84.48,2014
"114","Atalanta","25.9",79.45,2014
"115","Chievo","26.6",68.13,2014
"116","Cagliari","23.6",65.13,2014
"117","Palermo","23.9",54,2014
"118","Verona","25.4",45.78,2014
"119","Empoli","22.8",35.63,2014
"120","Cesena","24.9",35.6,2014
"121","Juventus","24.9",394.33,2015
"122","Roma","23.7",319.08,2015
"123","Inter","24.2",297.9,2015
"124","Napoli","24.9",268.95,2015
"125","Milan","25.5",233,2015
"126","Lazio","24.7",172.83,2015
"127","Fiorentina","25.1",172.68,2015
"128","Sampdoria","25",136.25,2015
"129","Genoa","23.3",124.95,2015
"130","Udinese","25.3",98.65,2015
"131","Torino","24.7",82.45,2015
"132","Bologna","24.8",81.85,2015
"133","Sassuolo","23.7",77.6,2015
"134","Atalanta","25.8",77.43,2015
"135","Carpi","24.9",65.8,2015
"136","Palermo","23.5",62.55,2015
"137","Verona","24.9",58.73,2015
"138","Chievo","26.6",46.38,2015
"139","Frosinone","25.2",43.1,2015
"140","Empoli","23.1",37.78,2015
"141","Juventus","22.8",463.78,2016
"142","Inter","22.7",352.2,2016
"143","Roma","22.2",322.83,2016
"144","Napoli","24.7",303.9,2016
"145","Milan","24",225.25,2016
"146","Fiorentina","22.5",196.18,2016
"147","Lazio","22.5",173.13,2016
"148","Torino","22.5",150.6,2016
"149","Udinese","22.7",123.33,2016
"150","Genoa","23.2",113.35,2016
"151","Sassuolo","23.2",107.93,2016
"152","Sampdoria","22.6",103.65,2016
"153","Atalanta","23",93.4,2016
"154","Bologna","23.3",91.68,2016
"155","Empoli","22.7",66.15,2016
"156","Cagliari","23.7",63.23,2016
"157","Chievo","24.2",56.48,2016
"158","Palermo","22.7",48.9,2016
"159","Pescara","23.1",47.78,2016
"160","Crotone","23.4",25.63,2016
"161","Juventus","25.6",540.53,2017
"162","Napoli","24.2",372.63,2017
"163","Milan","23.5",352.58,2017
"164","Inter","24.9",347.43,2017
"165","Roma","22.7",328.28,2017
"166","Lazio","23.8",220.75,2017
"167","Fiorentina","23",168.1,2017
"168","Torino","22.8",146,2017
"169","Atalanta","22.6",126.33,2017
"170","Sassuolo","24",122.13,2017
"171","Sampdoria","23.6",113.85,2017
"172","Genoa","25.1",113.48,2017
"173","Udinese","23",87.18,2017
"174","Bologna","24.4",82.63,2017
"175","Cagliari","24.4",73.33,2017
"176","Benevento","24.1",61.8,2017
"177","Chievo","26.4",50.78,2017
"178","Spal","24.4",50.4,2017
"179","Verona","24.5",46.3,2017
"180","Crotone","23.1",37,2017
"181","Juventus","28.2",768.5,2018
"182","Inter","28.3",550.6,2018
"183","Napoli","26.8",489,2018
"184","Milan","26.3",475.5,2018
"185","Roma","26.7",368.8,2018
"186","Lazio","26.5",339.45,2018
"187","Fiorentina","24.1",221.8,2018
"188","Torino","26.4",163.9,2018
"189","Atalanta","25.1",163.85,2018
"190","Sampdoria","25.6",150.2,2018
"191","Sassuolo","25.2",120.43,2018
"192","Udinese","24.4",102.85,2018
"193","Cagliari","28.6",101.98,2018
"194","Bologna","26.6",69.55,2018
"195","Genoa","26.1",63.45,2018
"196","Spal","26.9",57.05,2018
"197","Parma","28.1",53.13,2018
"198","Frosinone","26.5",49.35,2018
"199","Chievo","27.5",42.4,2018
"200","Empoli","26.5",37.9,2018
