"","HomeTeam","AwayTeam","HTWinStreak3","HTWinStreak5","HTLossStreak3","HTLossStreak5","ATWinStreak3","ATWinStreak5","ATLossStreak3","ATLossStreak5","HM1","AM1","HM2","AM2","HTGD","ATGD","DiffFormPts","DiffLP","H2H_Diff","WHH","WHD","WHA","Market_Diff","Age_diff","prediction","FTR_05","FTR_045"
"1","Huesca","Vallecano","0","0","0","0","0","0","0","0","0","0","0","0",-5,-4,4,0,0,2.2,3.5,3.1,-0.53,1,0.463179285674901,"Remis_lub_gosc","Gospodarz"
"2","Ath Bilbao","Real Madrid","0","0","0","0","0","0","0","0","0","1","0","1",1,8,-5,13,0,5,4.5,1.57,-32.27,0.900000000000002,0.225603931109078,"Remis_lub_gosc","Remis_lub_gosc"
"3","Ath Madrid","Eibar","0","0","0","0","0","0","0","0","0","1","1","0",-1,-2,1,-7,0,1.36,4.5,9,38.21,-1.2,0.653357144623841,"Gospodarz","Gospodarz"
"4","Sociedad","Barcelona","0","0","0","0","0","0","0","0","0","1","0","1",0,10,-5,11,0,6,4.8,1.44,-41.31,-1.3,0.196443160879618,"Remis_lub_gosc","Remis_lub_gosc"
"5","Valencia","Betis","0","0","0","0","0","0","0","0","0","1","0","0",-2,-2,-2,-2,0,1.75,3.75,4.4,10.67,-1.8,0.528264966343841,"Gospodarz","Gospodarz"
"6","Espanol","Levante","0","0","0","0","0","0","0","0","0","0","1","0",1,2,0,-4,0,1.75,3.75,4.5,0.87,1.3,0.476519641533868,"Remis_lub_gosc","Gospodarz"
"7","Leganes","Villarreal","0","0","0","0","0","0","0","0","0","0","0","0",-4,-2,0,12,0,2.9,3.2,2.5,-4.78,-1.8,0.350793488078867,"Remis_lub_gosc","Remis_lub_gosc"
"8","Sevilla","Getafe","0","0","0","0","0","0","0","0","0","0","0","1",2,0,0,-1,0,1.57,3.9,5.8,6.96,0.200000000000003,0.568544964619945,"Gospodarz","Gospodarz"
"9","Valladolid","Alaves","0","0","0","0","0","0","0","0","0","1","0","0",-1,-2,-2,2,0,2.25,2.9,3.6,-1.18,0.899999999999999,0.460725027805872,"Remis_lub_gosc","Gospodarz"
"10","Girona","Celta","0","0","0","0","0","0","0","0","1","1","0","1",-2,3,-3,-3,0,2.38,3.4,2.88,-3.21,1.6,0.512353016932247,"Gospodarz","Gospodarz"
